timestamp_ms,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703253600000,43693.99,43743.13,43412.54,43636.39,1759.18713,1703257199999,76625677.7906608,86832,850.75956,37055391.561388,0
1703257200000,43636.38,43701.1,43553.13,43671.1,1177.0481,1703260799999,51353458.7335531,60920,632.48395,27595020.6794037,0
1703260800000,43671.1,43708.0,43481.14,43554.39,1002.14279,1703264399999,43700275.5839454,51051,495.18022,21591394.7755934,0
1703264400000,43554.39,43736.54,43545.61,43686.9,978.98815,1703267999999,42721068.8249393,46028,455.16891,19861194.4487973,0
1703268000000,43686.89,43992.0,43654.7,43950.0,1819.91306,1703271599999,79807937.4374481,66967,986.33437,43248756.0786096,0
1703271600000,43949.99,43950.0,43613.02,43640.79,1295.98161,1703275199999,56668150.339639,52822,596.63789,26081810.1215773,0
1703275200000,43640.79,43740.0,43617.44,43645.22,1343.49413,1703278799999,58709733.2668892,44833,543.3854,23744209.3389151,0
1703278800000,43645.22,43775.54,43645.22,43706.24,790.61279,1703282399999,34547956.2391407,37638,406.18924,17750710.332777,0
1703282400000,43706.25,43800.0,43665.24,43800.0,496.59798,1703285999999,21717333.5189138,26667,263.36247,11518506.3026686,0
1703286000000,43800.0,44048.16,43785.62,43969.04,1233.38022,1703289599999,54205850.6159815,51702,673.98618,29619585.3787771,0
1703289600000,43969.04,43988.68,43785.04,43813.89,912.50826,1703293199999,40055717.0727567,47104,384.45775,16875402.8482735,0
1703293200000,43813.9,43900.0,43622.22,43638.46,870.04299,1703296799999,38077778.3009951,44770,406.35776,17782398.5776648,0
1703296800000,43638.46,43683.57,43461.13,43490.85,1341.71231,1703300399999,58460545.3075402,55007,550.99399,24012632.195171,0
1703300400000,43490.86,43608.13,43456.0,43526.43,913.07778,1703303999999,39761417.3848433,38927,497.45897,21662911.1635035,0
1703304000000,43526.43,43526.43,43291.1,43504.03,1267.98614,1703307599999,55028714.6163277,54290,601.51011,26104117.2637322,0
1703307600000,43504.03,43620.0,43482.77,43605.97,523.86504,1703311199999,22813417.7425397,26587,278.67946,12136196.3060587,0
1703311200000,43605.97,43650.02,43537.85,43632.84,519.59846,1703314799999,22654064.4781715,25453,252.60266,11013532.1837176,0
1703314800000,43632.85,43650.1,43553.44,43562.32,486.836,1703318399999,21225590.0977395,24352,218.17382,9512578.3946288,0
1703318400000,43562.31,43630.62,43559.58,43620.42,570.34228,1703321999999,24862440.9979927,27052,304.22537,13261894.8474769,0
1703322000000,43620.43,43669.88,43531.0,43627.87,715.70832,1703325599999,31208154.1430135,33397,317.63366,13850397.4348321,0
1703325600000,43627.88,43646.1,43562.72,43583.42,489.82839,1703329199999,21356563.5676368,27917,227.52307,9919676.1486586,0
1703329200000,43583.42,43616.81,43490.01,43547.78,592.26442,1703332799999,25785363.2774219,29363,243.72624,10611268.9411759,0
1703332800000,43547.78,43758.0,43547.77,43704.91,748.44242,1703336399999,32677644.5303533,41655,411.95746,17984345.9902084,0
1703336400000,43704.91,43769.52,43642.27,43709.99,663.90782,1703339999999,29016486.0088319,33747,300.81046,13148630.6426193,0
1703340000000,43709.98,43800.0,43670.82,43784.31,652.35502,1703343599999,28526021.6628033,35306,326.3013,14268977.7555452,0
1703343600000,43784.32,43856.0,43719.0,43756.24,755.31056,1703347199999,33069179.587143,37238,393.71772,17238546.3349909,0
1703347200000,43756.24,43845.54,43706.7,43789.27,571.36481,1703350799999,25005059.0726616,33391,265.07297,11600695.8578799,0
1703350800000,43789.27,43808.0,43726.61,43746.88,452.75789,1703354399999,19819037.7054048,29284,203.54839,8909896.2457868,0
1703354400000,43746.88,43850.0,43701.83,43787.69,561.61192,1703357999999,24589106.4639025,34271,280.11958,12264434.4928572,0
1703358000000,43787.69,43821.69,43695.03,43703.81,547.96785,1703361599999,23970508.1091643,34598,244.4413,10692809.860349,0
1703361600000,43703.82,43738.74,43632.77,43711.33,486.4342,1703365199999,21253241.2888971,29728,227.59732,9943927.2959423,0
1703365200000,43711.33,43779.71,43661.81,43772.55,395.6197,1703368799999,17304544.2659842,30857,197.92315,8656864.2683717,0
1703368800000,43772.55,43835.94,43737.85,43745.86,577.03505,1703372399999,25263046.9489871,36307,242.31768,10609082.0329161,0
1703372400000,43745.86,43806.38,43701.1,43702.16,940.55167,1703375999999,41160182.7021059,39057,388.15545,16985292.0853592,0
1703376000000,43702.15,43722.25,43606.18,43716.72,773.85301,1703379599999,33799622.6010703,40650,345.58209,15093007.1190429,0
1703379600000,43716.71,43907.57,43716.71,43781.99,822.10433,1703383199999,36027086.9779245,43900,416.15857,18237009.5577327,0
1703383200000,43781.99,43904.03,43778.54,43856.85,762.5199,1703386799999,33429068.4098158,34541,362.77864,15903912.9890824,0
1703386800000,43856.86,43869.6,43805.49,43834.48,543.55009,1703390399999,23827052.4193438,27625,250.78553,10992810.5498409,0
1703390400000,43834.48,43946.0,43758.32,43794.81,865.25473,1703393999999,37948662.927635,46175,422.83931,18544558.4939543,0
1703394000000,43794.81,43800.0,43420.01,43490.01,2214.82467,1703397599999,96524568.8313586,78443,970.94965,42311268.6800105,0
1703397600000,43490.01,43561.1,43401.0,43555.4,1053.97326,1703401199999,45850610.0577289,44997,508.59848,22126847.8908166,0
1703401200000,43555.39,43660.42,43510.44,43651.17,563.95835,1703404799999,24584014.7474556,32040,307.25395,13393129.716051,0
1703404800000,43651.17,43664.34,43580.0,43623.9,599.3525,1703408399999,26147914.5281989,31302,272.49499,11886953.7256925,0
1703408400000,43623.9,43693.66,43575.85,43685.26,668.24079,1703411999999,29163199.4309788,34052,330.38309,14418740.7841624,0
1703412000000,43685.26,43694.72,43405.0,43594.57,1315.61624,1703415599999,57299562.5919832,68867,639.06151,27833312.2521761,0
1703415600000,43594.57,43637.28,43550.0,43634.2,584.74252,1703419199999,25495262.271703,36879,284.81404,12417658.7112845,0
1703419200000,43634.19,43667.54,43560.74,43646.45,599.97243,1703422799999,26168577.3206784,40523,268.37575,11705660.0707295,0
1703422800000,43646.45,43779.38,43626.6,43756.42,715.18103,1703426399999,31249734.4230443,41188,347.50776,15185297.091556,0
1703426400000,43756.43,43864.08,43690.0,43726.05,1262.65378,1703429999999,55301124.9774325,54160,640.89867,28070252.2743534,0
1703430000000,43726.04,43803.69,43672.0,43680.23,827.88928,1703433599999,36208960.191705,42562,389.92522,17052359.4592118,0
1703433600000,43680.23,43713.86,43550.0,43663.1,879.05159,1703437199999,38360176.8201677,61128,412.24557,17988603.4413834,0
1703437200000,43663.1,43710.0,43599.0,43627.63,734.95276,1703440799999,32075059.6420829,37262,351.20768,15326669.873126,0
1703440800000,43627.62,43678.0,43571.54,43659.64,559.22299,1703444399999,24398077.5182731,30872,276.29344,12054132.9283235,0
1703444400000,43659.63,43677.99,43561.5,43618.07,409.88544,1703447999999,17883095.5069126,26070,176.0152,7679297.531441,0
1703448000000,43618.08,43618.08,43426.47,43499.25,1076.99069,1703451599999,46855504.0861116,40083,531.22386,23110243.9407538,0
1703451600000,43499.25,43560.0,43458.0,43489.54,971.46467,1703455199999,42263340.1339574,39127,471.11274,20496480.5191737,0
1703455200000,43489.54,43552.73,42500.0,42977.3,4700.8557,1703458799999,202095696.4283625,151691,2060.5473,88519678.3629844,0
1703458800000,42977.29,43186.52,42888.0,42991.5,1638.22421,1703462399999,70504662.0454983,53541,804.2131,34614143.2154514,0
1703462400000,42991.5,43099.7,42720.43,42921.66,1514.37175,1703465999999,64957583.4320281,62300,756.12985,32431019.2523041,0
1703466000000,42921.66,43085.61,42914.49,43047.91,915.79302,1703469599999,39394976.7752902,42323,469.04293,20177837.7740168,0
1703469600000,43047.9,43110.0,42867.81,43063.59,784.9947,1703473199999,33744924.6456707,36098,387.25999,16645338.2034828,0
1703473200000,43063.59,43158.59,43011.1,43152.78,653.38779,1703476799999,28165414.059452,29913,350.78577,15120181.4980091,0
1703476800000,43152.78,43201.1,43101.53,43104.5,711.05355,1703480399999,30681106.3025058,31173,342.38249,14773653.9617186,0
1703480400000,43104.5,43252.71,43104.49,43238.0,639.17925,1703483999999,27597655.6757072,31537,383.64369,16564337.0755864,0
1703484000000,43238.0,43335.13,43214.0,43239.94,767.08556,1703487599999,33190817.8133363,40126,417.10358,18047778.9383621,0
1703487600000,43239.93,43280.96,43184.88,43208.15,713.45114,1703491199999,30838956.9114433,33599,382.02714,16512823.0278047,0
1703491200000,43208.15,43291.05,43100.49,43114.55,1171.84091,1703494799999,50615911.647555,41434,520.22564,22474857.4886625,0
1703494800000,43114.55,43194.38,43045.43,43150.68,896.89313,1703498399999,38684053.7327223,39870,463.55981,19994529.7130512,0
1703498400000,43150.67,43206.35,43091.1,43174.86,616.69165,1703501999999,26615097.5000257,33496,306.55224,13229417.9840975,0
1703502000000,43174.86,43248.0,43077.07,43171.11,1030.60696,1703505599999,44498088.8989662,45445,446.26109,19267544.3775022,0
1703505600000,43171.11,43699.0,43080.01,43648.02,1885.27407,1703509199999,81674018.0175144,77913,992.66982,43024511.4013648,0
1703509200000,43648.03,43802.32,43530.0,43666.0,2252.15933,1703512799999,98328277.2156345,103457,1234.79938,53917488.3592384,0
1703512800000,43666.0,43764.81,43557.25,43674.09,1487.22596,1703516399999,64937620.8774436,63550,724.80398,31650593.9428141,0
1703516400000,43674.1,43750.0,43613.14,43618.0,1433.07722,1703519999999,62586628.7897735,66279,656.48857,28671007.7558526,0
1703520000000,43618.01,43710.01,43413.37,43501.7,1596.89137,1703523599999,69592922.2277893,78381,703.59768,30665385.6515342,0
1703523600000,43501.71,43647.42,43481.1,43554.21,1096.71225,1703527199999,47786401.371549,53709,623.60595,27171267.4828614,0
1703527200000,43554.21,43650.0,43370.19,43449.76,1141.84314,1703530799999,49726733.0195491,51192,551.30133,24010980.9729704,0
1703530800000,43449.76,43509.27,43343.83,43474.25,1360.62023,1703534399999,59099752.2166761,44238,684.49329,29732417.4007528,0
1703534400000,43474.25,43494.0,43328.14,43418.0,1249.13346,1703537999999,54219451.4366233,48455,608.96849,26430636.8009058,0
1703538000000,43418.0,43539.0,43328.65,43523.41,1142.04929,1703541599999,49574566.2994711,37841,663.81577,28817464.0817351,0
1703541600000,43523.41,43720.96,43481.82,43680.15,993.56031,1703545199999,43352622.1904505,41964,529.88795,23119493.6071875,0
1703545200000,43680.15,43680.15,43572.9,43576.13,967.34388,1703548799999,42189805.4538043,34135,491.83287,21450319.0513311,0
1703548800000,43576.12,43592.68,43392.12,43446.85,827.15241,1703552399999,35989292.5742716,37321,407.98953,17752377.9057649,0
1703552400000,43446.86,43542.08,43421.8,43503.19,953.08497,1703555999999,41446322.3330324,39954,478.35658,20803482.8074075,0
1703556000000,43503.19,43532.88,43404.39,43407.61,675.60008,1703559599999,29368750.4232994,36170,311.77948,13552264.8388071,0
1703559600000,43407.62,43480.44,43362.23,43451.46,765.75422,1703563199999,33257224.4192217,32772,391.66058,17009735.6863948,0
1703563200000,43451.45,43474.26,43368.2,43450.0,664.09925,1703566799999,28840980.441676,28802,316.85971,13760857.0562833,0
1703566800000,43450.01,43450.01,42650.0,42764.85,4253.52026,1703570399999,182738904.26073608,142416,1903.64643,81737140.8008415,0
1703570400000,42764.85,42819.99,42545.0,42690.47,2748.91914,1703573999999,117373030.3832395,81482,1448.30495,61846909.8570291,0
1703574000000,42690.47,42837.05,42629.07,42774.12,1353.94263,1703577599999,57910343.6877675,48844,799.83023,34211639.7465408,0
1703577600000,42774.12,42798.0,42639.85,42706.42,1572.73367,1703581199999,67191540.1323035,48932,678.39326,28984383.963134,0
1703581200000,42706.41,42726.96,42150.0,42408.92,3277.82544,1703584799999,139236222.3226359,98880,1443.45539,61305370.3998322,0
1703584800000,42408.91,42676.33,42361.11,42644.88,2762.00964,1703588399999,117532329.2119228,78855,1864.40718,79342130.1498823,0
1703588400000,42644.87,42754.73,42567.78,42685.55,1258.15944,1703591999999,53660034.3211906,47886,691.16036,29480714.4933507,0
1703592000000,42685.56,42799.74,42627.92,42766.88,1014.32863,1703595599999,43324925.8539726,45393,636.84399,27205915.6711909,0
1703595600000,42766.88,42775.37,42623.9,42714.68,1231.35452,1703599199999,52597565.7314809,47988,575.17094,24570092.7610051,0
1703599200000,42714.68,42827.68,42543.5,42600.0,1325.3851,1703602799999,56583749.0781276,52126,671.4078,28667712.1998905,0
1703602800000,42599.99,42750.01,42250.0,42391.5,2029.35343,1703606399999,86291498.3588534,80643,1008.27045,42870945.6885096,0
1703606400000,42391.51,42434.2,42083.0,42319.42,2764.97128,1703609999999,116945194.259977,85517,1359.79734,57516341.7138615,0
1703610000000,42319.41,42350.0,41637.6,42009.99,4275.76705,1703613599999,179635737.9767616,154370,1985.75897,83463650.9901833,0
1703613600000,42010.0,42180.1,41832.42,42163.53,2066.66307,1703617199999,86823599.9985539,78270,1037.12442,43568573.8667079,0
1703617200000,42163.53,42306.45,42073.68,42109.11,1296.33803,1703620799999,54708555.9616304,53077,702.92715,29667282.3499051,0
1703620800000,42109.11,42234.04,42055.0,42135.13,825.56719,1703624399999,34796016.9922256,39425,430.43952,18142173.9161326,0
1703624400000,42135.47,42342.64,42114.6,42338.47,892.92391,1703627999999,37739083.1714062,38268,541.22073,22876305.0505756,0
